iter	Passed	Remaining
0	46	462716
1	99	495235
2	135	453014
3	187	469041
4	223	446090
5	257	429184
6	289	413761
7	322	403148
8	354	393798
9	388	387911
10	421	382838
11	454	377930
12	487	374622
13	519	370722
14	550	366540
15	585	365111
16	618	363205
17	653	362383
18	685	360186
19	716	357546
20	748	355794
21	782	354979
22	800	347205
23	833	346513
24	865	345226
25	902	346070
26	935	345415
27	968	344834
28	1001	344399
29	1035	344163
30	1068	343730
31	1102	343565
32	1136	343357
33	1171	343519
34	1208	344000
35	1240	343401
36	1274	343263
37	1306	342572
38	1339	342168
39	1372	341866
40	1407	341783
41	1442	341937
42	1475	341715
43	1508	341371
44	1525	337554
45	1560	337737
46	1593	337467
47	1625	337121
48	1659	337042
49	1691	336615
50	1722	336112
51	1753	335526
52	1788	335668
53	1794	330603
54	1829	330734
55	1858	330101
56	1890	329727
57	1921	329316
58	1953	329223
59	1961	324961
60	1994	324982
61	2026	324902
62	2060	324952
63	2093	325056
64	2127	325230
65	2160	325251
66	2171	321868
67	2204	322036
68	2236	321875
69	2240	317827
70	2249	314610
71	2284	315041
72	2317	315186
73	2350	315343
74	2382	315336
75	2415	315475
76	2449	315635
77	2482	315824
78	2515	315874
79	2548	316036
80	2580	316022
81	2612	315946
82	2616	312575
83	2621	309502
84	2654	309696
85	2689	310013
86	2723	310321
87	2740	308672
88	2775	309054
89	2807	309118
90	2841	309375
91	2872	309372
92	2906	309597
93	2941	310026
94	2975	310207
95	3008	310412
96	3046	311042
97	3080	311215
98	3113	311362
99	3146	311550
100	3178	311555
101	3211	311643
102	3243	311662
103	3276	311799
104	3309	311864
105	3342	312014
106	3375	312136
107	3409	312294
108	3443	312464
109	3478	312721
110	3508	312610
111	3541	312665
112	3575	312798
113	3607	312874
114	3638	312715
115	3670	312791
116	3702	312745
117	3734	312783
118	3766	312712
119	3797	312672
120	3830	312761
121	3865	312956
122	3897	312946
123	3929	312961
124	3964	313162
125	3994	313046
126	4028	313152
127	4063	313421
128	4095	313403
129	4128	313464
130	4160	313468
131	4192	313436
