N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
56.72,15.72,164.47,4.07,0.69,25.25,73.9,3996.65,343.19,Low Humic Gley,Wet,1,Cinnamon,1.259
96.57,33.68,245.89,5.99,1.27,32.28,57.3,897.65,109.91,Non-Calcic Brown,Dry,0,Kurakkan,1.528
14.81,73.2,68.4,6.91,2.49,28.11,56.03,961.63,204.98,Latosols,Dry,0,Kurakkan,1.616
144.56,68.34,188.09,6.34,2.56,34.26,73.05,1218.53,26.55,Alluvial,Dry,1,Paddy (Nadu),6.851
117.98,10.55,92.82,4.34,1.09,20.53,70.35,3233.72,437.45,Latosols,Wet,0,Rubber,1.637
88.58,62.82,125.98,6.26,3.28,29.92,59.57,1192.87,291.51,Alluvial,Dry,0,Maize,9.639
50.57,17.09,232.78,7.6,1.23,28.98,63.5,1223.09,60.92,Red Básico,Dry,1,Paddy (Nadu),7.758
130.5,5.52,130.13,5.76,1.23,19.99,76.8,4767.07,1424.92,Red-Yellow Podzolic,Wet,0,Tea,2.984
30.73,79.83,70.36,8.39,3.14,30.55,74.06,1480.25,75.53,Non-Calcic Brown,Dry,1,Paddy (Samba),6.775
98.52,52.51,136.26,4.22,2.1,32.15,59.24,856.6,72.65,Non-Calcic Brown,Dry,0,Kurakkan,1.391
82.49,67.83,170.54,7.26,2.19,31.58,66.13,958.55,52.31,Red Básico,Dry,0,Kurakkan,1.658
49.04,57.53,212.43,7.82,0.78,24.09,79.31,2496.25,802.46,Alluvial,Intermediate,0,Rubber,1.608
72.78,79.58,48.1,3.88,2.46,28.71,50.13,1264.45,48.24,Non-Calcic Brown,Dry,0,Chilli,4.58
136.85,37.58,90.77,6.83,2.46,30.57,56.1,985.64,291.9,Red Básico,Dry,0,Kurakkan,2.244
139.96,37.11,241.83,8.33,1.05,34.96,56.99,1128.96,265.05,Latosols,Dry,0,Green Gram,2.002
29.61,43.87,219.96,7.28,1.49,26.82,71.76,4825.04,459.62,Low Humic Gley,Wet,0,Rubber,1.575
121.41,71.75,87.81,5.57,1.05,16.14,85.7,2512.96,427.4,Latosols,Wet,1,Cinnamon,1.276
117.8,21.19,157.61,4.2,1.28,24.0,66.07,1538.83,783.37,Red-Yellow Podzolic,Intermediate,1,Coconut,6.505
144.77,67.7,175.51,5.72,0.54,22.33,68.67,1898.82,969.64,Immature Brown Loams,Intermediate,1,Rubber,1.398
59.84,61.84,8.53,4.35,0.87,26.13,68.71,2157.11,957.04,Alluvial,Intermediate,1,Coconut,5.642
16.34,33.1,158.34,6.16,2.91,30.42,66.24,1125.27,14.42,Non-Calcic Brown,Dry,1,Paddy (Nadu),9.021
141.81,33.96,240.49,8.06,1.32,28.41,71.47,2177.17,415.65,Red-Yellow Podzolic,Intermediate,1,Paddy (Nadu),6.665
107.54,52.17,219.98,7.25,0.18,20.4,78.52,4204.03,573.53,Low Humic Gley,Wet,1,Rubber,2.038
115.12,61.59,30.27,8.04,2.29,29.75,71.68,1206.38,168.56,Latosols,Dry,0,Chilli,2.418
72.78,26.99,85.52,6.96,1.45,24.84,73.54,2456.8,734.27,Immature Brown Loams,Intermediate,1,Paddy (Nadu),8.86
96.55,12.58,25.61,7.09,1.64,27.9,74.12,2045.92,1171.79,Red-Yellow Podzolic,Intermediate,0,Rubber,1.515
21.69,63.29,141.81,5.79,2.13,34.16,72.69,965.68,177.57,Latosols,Dry,1,Paddy (Samba),6.238
50.0,70.14,59.78,8.33,2.12,33.76,67.03,1320.95,71.25,Red Básico,Dry,1,Paddy (Nadu),7.543
107.57,33.82,185.59,8.1,1.49,28.57,85.73,3807.74,1530.65,Low Humic Gley,Wet,0,Leeks,21.505
14.52,25.98,105.75,6.63,0.68,19.95,71.94,3959.14,2143.67,Latosols,Wet,0,Strawberries,17.549
77.25,78.9,97.3,7.32,3.33,34.53,51.13,1406.24,7.91,Red Básico,Dry,0,Green Gram,1.94
111.66,61.78,97.57,4.93,0.88,27.11,94.99,4532.25,2192.6,Red-Yellow Podzolic,Wet,0,Tea,2.334
129.31,46.39,142.43,7.92,2.56,29.88,62.45,815.53,142.86,Alluvial,Dry,0,Kurakkan,2.879
22.74,59.48,139.12,5.92,2.66,28.95,58.76,810.18,176.98,Non-Calcic Brown,Dry,0,Kurakkan,2.648
98.68,23.01,23.59,4.41,1.99,33.38,51.15,846.37,186.24,Non-Calcic Brown,Dry,1,Maize,5.618
49.0,18.28,26.73,4.37,1.51,31.61,65.05,1481.18,67.15,Red Básico,Dry,1,Paddy (Nadu),5.618
122.87,61.12,50.21,4.78,0.42,24.63,73.92,3779.14,830.03,Red-Yellow Podzolic,Wet,0,Rubber,1.836
72.64,44.95,64.41,5.07,0.16,16.86,91.11,4217.91,1649.16,Latosols,Wet,0,Carrots,18.917
92.16,60.91,110.76,4.4,0.81,21.64,86.22,3387.76,1055.08,Latosols,Wet,0,Tea,2.542
49.91,18.0,224.71,4.18,0.78,23.9,63.06,1601.78,521.36,Immature Brown Loams,Intermediate,1,Maize,9.955
90.03,26.0,193.53,4.68,1.34,29.8,74.46,1990.75,1038.78,Immature Brown Loams,Intermediate,0,Tea,2.106
73.6,46.15,139.49,4.75,2.11,32.07,62.03,908.05,159.78,Red Básico,Dry,0,Kurakkan,1.167
112.32,75.38,49.4,4.11,1.37,33.56,71.27,874.69,223.79,Non-Calcic Brown,Dry,1,Paddy (Samba),7.705
124.32,37.94,97.35,5.97,1.09,23.89,78.16,2133.76,584.58,Immature Brown Loams,Intermediate,0,Rubber,1.583
29.5,64.55,156.92,6.31,2.0,29.6,60.79,1179.99,99.84,Alluvial,Dry,0,Maize,9.017
128.5,14.56,102.34,7.55,0.17,25.0,88.87,3734.95,226.42,Red-Yellow Podzolic,Wet,0,Rubber,1.282
74.68,76.05,42.57,6.56,2.2,32.19,73.98,1378.76,102.76,Non-Calcic Brown,Dry,1,Paddy (Samba),6.022
113.1,75.08,231.76,5.92,1.14,22.18,75.42,2151.37,636.99,Red-Yellow Podzolic,Intermediate,1,Rubber,2.292
