N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
65.848,38.296,140.574,5.43,0.802,22.153999999999996,80.132,3828.346,552.7980000000001,Low Humic Gley,Wet,1,Cinnamon,1.259
83.006,43.53999999999999,157.462,6.026,2.246,31.919999999999998,61.20399999999999,895.85,150.094,Non-Calcic Brown,Dry,0,Kurakkan,1.528
66.654,51.44399999999999,121.96400000000001,6.21,2.49,31.086,60.949999999999996,908.646,169.10799999999998,Latosols,Dry,0,Kurakkan,1.616
86.952,47.848,140.094,6.4799999999999995,1.7440000000000002,29.907999999999998,70.274,1422.998,219.738,Alluvial,Dry,1,Paddy,6.851
85.46000000000001,37.422000000000004,111.228,5.811999999999999,1.002,23.65,74.222,2637.5919999999996,604.69,Latosols,Wet,0,Rubber,1.637
81.51599999999999,48.084,127.68400000000001,6.04,2.1999999999999997,30.220000000000002,64.354,1311.6419999999998,227.802,Alluvial,Dry,0,Maize,9.639
68.154,37.598,149.03199999999998,6.731999999999999,1.4780000000000002,28.852,68.364,1423.91,226.612,Red Básico,Dry,1,Paddy,7.758
112.396,34.943999999999996,133.16199999999998,5.104,0.9099999999999999,21.837999999999997,80.504,3883.662,1179.016,Red-Yellow Podzolic,Wet,0,Tea,2.984
64.18599999999999,50.145999999999994,116.548,6.89,1.86,29.166,70.476,1475.342,229.534,Non-Calcic Brown,Dry,1,Paddy,6.775
83.39599999999999,47.30599999999999,135.536,5.672,2.412,31.894,61.592,887.64,142.642,Non-Calcic Brown,Dry,0,Kurakkan,1.391
80.19,50.36999999999999,142.392,6.28,2.43,31.779999999999998,62.97,908.03,138.57399999999998,Red Básico,Dry,0,Kurakkan,1.658
71.672,46.818000000000005,135.14999999999998,6.507999999999999,0.94,24.362,76.014,2490.098,677.692,Alluvial,Intermediate,0,Rubber,1.608
83.5,50.412,113.648,5.784,2.412,31.205999999999996,59.186,1265.1699999999998,122.152,Non-Calcic Brown,Dry,0,Chilli,4.58
91.062,44.31999999999999,126.43800000000002,6.194,2.484,31.577999999999996,60.964,913.448,186.49199999999996,Red Básico,Dry,0,Kurakkan,2.244
67.786,44.086,136.656,6.3999999999999995,1.0819999999999999,24.908,74.504,2955.8559999999998,609.124,Low Humic Gley,Wet,0,Rubber,1.575
110.578,48.18999999999999,124.698,5.066000000000001,0.874,21.067999999999998,82.284,3432.84,979.5120000000001,Latosols,Wet,1,Tea,1.276
85.424,39.550000000000004,124.18599999999999,5.784,1.04,24.344,73.366,2298.614,673.874,Red-Yellow Podzolic,Intermediate,1,Rubber,6.505
90.818,48.852000000000004,127.76599999999999,6.087999999999999,0.892,24.009999999999998,73.886,2370.612,711.1279999999999,Immature Brown Loams,Intermediate,1,Rubber,1.398
79.75200000000001,47.208,118.69800000000002,6.2700000000000005,1.1099999999999999,25.338,71.76599999999999,2152.6620000000003,784.8720000000001,Alluvial,Intermediate,1,Coconut,5.642
61.308,40.8,134.144,6.443999999999999,1.814,29.14,68.91199999999999,1404.346,217.31199999999998,Non-Calcic Brown,Dry,1,Paddy,9.021
86.40199999999999,40.972,150.57399999999998,6.824,1.4960000000000002,28.738,69.958,1614.726,297.558,Red-Yellow Podzolic,Intermediate,1,Paddy,6.665
83.372,45.746,136.66,6.394,0.8200000000000001,23.624,75.856,2831.6539999999995,631.9060000000001,Low Humic Gley,Wet,1,Rubber,2.038
91.968,46.814,110.08200000000001,6.616,2.3779999999999997,31.413999999999998,63.496,1253.556,146.216,Latosols,Dry,0,Chilli,2.418
72.596,39.577999999999996,119.58,6.603999999999999,1.5220000000000002,28.024,70.372,1670.652,361.2819999999999,Immature Brown Loams,Intermediate,1,Paddy,8.86
81.174,37.828,97.786,6.362,1.1119999999999999,25.124,74.976,2400.0319999999997,751.558,Red-Yellow Podzolic,Intermediate,0,Rubber,1.515
62.378,46.837999999999994,130.838,6.369999999999999,1.6580000000000001,29.887999999999998,70.202,1372.428,249.94199999999998,Latosols,Dry,1,Paddy,6.238
68.03999999999999,48.208,114.432,6.877999999999999,1.6560000000000001,29.808,69.07,1443.482,228.678,Red Básico,Dry,1,Paddy,7.543
108.628,46.196,126.64999999999999,4.938000000000001,0.84,23.262,84.142,3836.698,1332.552,Red-Yellow Podzolic,Wet,0,Tea,2.334
89.554,46.081999999999994,136.77,6.412,2.504,31.439999999999998,62.233999999999995,879.426,156.684,Alluvial,Dry,0,Kurakkan,2.879
68.24,48.69999999999999,136.108,6.0120000000000005,2.524,31.253999999999998,61.495999999999995,878.356,163.50799999999998,Non-Calcic Brown,Dry,0,Kurakkan,2.648
83.536,40.122,107.20600000000002,5.67,1.942,30.912000000000003,62.669999999999995,1242.3419999999999,206.748,Non-Calcic Brown,Dry,1,Maize,5.618
67.84,37.836,107.822,6.085999999999999,1.5340000000000003,29.378,68.67399999999999,1475.528,227.858,Red Básico,Dry,1,Paddy,5.618
86.438,47.536,102.706,5.8999999999999995,0.868,24.47,74.93599999999999,2746.676,683.206,Red-Yellow Podzolic,Wet,0,Rubber,1.836
104.72800000000001,46.02199999999999,129.28799999999998,4.832000000000001,0.8260000000000001,22.168,82.388,3607.8,1105.048,Latosols,Wet,0,Tea,2.542
73.782,39.120000000000005,147.43,5.624,1.7,29.016000000000002,65.05199999999999,1393.424,273.772,Immature Brown Loams,Intermediate,1,Maize,9.955
104.302,39.03999999999999,145.84199999999998,4.888,0.9319999999999999,23.799999999999997,80.036,3328.398,1101.788,Immature Brown Loams,Intermediate,0,Tea,2.106
78.41199999999999,46.03399999999999,136.18200000000002,5.7780000000000005,2.414,31.877999999999997,62.15,897.9300000000001,160.06799999999998,Red Básico,Dry,0,Kurakkan,1.167
80.50399999999999,49.25599999999999,112.356,6.034,1.5060000000000002,29.768,69.91799999999999,1354.23,259.186,Non-Calcic Brown,Dry,1,Paddy,7.705
92.648,42.428,136.46200000000002,6.594,1.154,24.89,73.65599999999999,2147.992,710.38,Immature Brown Loams,Intermediate,0,Coconut,1.583
69.7,48.43,133.872,6.05,1.944,30.156000000000002,64.598,1309.066,189.468,Alluvial,Dry,0,Maize,9.017
87.564,38.224000000000004,113.132,6.454,0.8180000000000001,24.544,77.926,2737.8379999999997,562.484,Red-Yellow Podzolic,Wet,0,Rubber,1.282
72.976,49.38999999999999,110.99,6.523999999999999,1.6720000000000002,29.494,70.46,1455.044,234.98,Non-Calcic Brown,Dry,1,Paddy,6.022
84.484,50.328,139.016,6.128,1.012,23.98,75.236,2421.122,644.598,Red-Yellow Podzolic,Intermediate,1,Rubber,2.292
65.842,42.124,135.012,6.239999999999999,0.666,21.805999999999997,83.074,3718.668,574.6160000000001,Red-Yellow Podzolic,Wet,0,Cinnamon,1.348
81.568,36.508,126.178,5.872,1.058,24.868,72.288,2323.95,633.2660000000001,Red-Yellow Podzolic,Intermediate,0,Rubber,6.957
57.528,43.233999999999995,136.358,5.438,0.722,21.215999999999998,83.35,3742.41,637.8900000000001,Alluvial,Wet,0,Cinnamon,1.362
77.136,38.184,116.93600000000002,6.2620000000000005,2.5780000000000003,31.531999999999996,63.51,886.89,144.45,Alluvial,Dry,0,Kurakkan,1.556
97.46799999999999,44.88799999999999,157.52800000000002,7.064,1.178,25.352,75.288,2310.512,698.264,Alluvial,Wet,0,Coconut,6.694
81.358,41.35,134.094,6.045999999999999,1.058,22.618,77.068,2581.566,702.626,Alluvial,Wet,0,Rubber,1.9
65.138,42.452,128.58599999999998,6.67,1.374,28.194,74.006,1749.348,428.8979999999999,Alluvial,Wet,1,Paddy,1.834
67.572,43.88199999999999,133.66000000000003,6.264,2.49,31.445999999999998,64.316,878.894,135.178,Latosols,Dry,0,Kurakkan,1.731
65.18,38.806000000000004,129.82799999999997,5.782,0.94,23.928,78.342,2777.4959999999996,695.128,Alluvial,Wet,1,Rubber,1.636
92.896,36.598000000000006,108.54,5.844,1.746,30.800000000000004,63.672,1293.944,218.646,Red Básico,Dry,0,Maize,6.401
85.33399999999999,44.879999999999995,137.442,6.02,2.02,29.682000000000002,68.958,1452.21,255.964,Non-Calcic Brown,Dry,1,Paddy,6.158
86.662,37.344,125.79,6.04,1.882,29.752000000000002,68.13799999999999,1432.538,404.28999999999996,Alluvial,Intermediate,0,Maize,5.087
86.35199999999999,45.605999999999995,130.198,6.412,2.588,32.077999999999996,61.32,885.47,160.48199999999997,Red Básico,Dry,0,Kurakkan,1.188
81.434,49.418,141.884,6.426,0.9279999999999999,22.74,74.416,2495.5899999999997,556.1600000000001,Alluvial,Wet,1,Rubber,1.409
102.652,38.3,116.786,4.92,0.946,23.43,78.75,3243.246,1104.84,Immature Brown Loams,Intermediate,1,Tea,1.964
94.912,42.78999999999999,148.51600000000002,6.862,1.3339999999999999,26.104,71.608,2056.02,789.946,Immature Brown Loams,Intermediate,1,Coconut,9.697
84.246,46.187999999999995,129.018,6.787999999999999,1.4960000000000002,28.224,70.96199999999999,1597.774,337.034,Immature Brown Loams,Intermediate,0,Paddy,9.072
60.184,47.48,114.678,6.826,1.96,29.71,70.068,1361.496,266.738,Alluvial,Dry,1,Paddy,4.376
73.73400000000001,36.79600000000001,124.668,6.338,1.822,30.720000000000002,65.61,1269.44,201.89999999999998,Alluvial,Dry,1,Maize,7.198
80.556,48.908,118.108,6.338,2.256,30.46,67.426,1271.376,195.07,Red Básico,Dry,1,Maize,8.92
69.02,46.046,140.022,6.159999999999999,1.62,29.244,67.652,1428.6860000000001,230.88,Alluvial,Dry,1,Paddy,8.092
69.754,41.502,131.678,6.587999999999999,0.9279999999999999,22.838,79.086,2611.87,579.898,Latosols,Wet,0,Rubber,1.19
90.508,38.176,137.57799999999997,6.263999999999999,0.986,24.134,78.154,2835.58,605.2660000000001,Low Humic Gley,Wet,0,Rubber,2.446
77.33,36.92400000000001,101.7,6.116,1.1199999999999999,25.247999999999998,75.732,2306.87,675.7660000000001,Immature Brown Loams,Intermediate,0,Rubber,1.811
78.332,40.164,130.058,6.436,1.338,27.748,70.298,1637.232,364.1039999999999,Immature Brown Loams,Intermediate,0,Paddy,5.528
74.176,43.33,128.662,6.523999999999999,1.892,29.674,67.792,1443.27,235.184,Latosols,Dry,1,Paddy,7.738
75.038,49.182,94.106,6.258,0.978,24.768,74.524,2362.694,606.634,Alluvial,Intermediate,0,Rubber,5.319
63.574,41.54,127.268,5.946,0.948,21.048,81.506,3943.4579999999996,593.594,Low Humic Gley,Wet,0,Cinnamon,8.866
73.20400000000001,42.62199999999999,163.752,6.458,1.048,24.692,70.252,2075.19,749.0740000000001,Immature Brown Loams,Intermediate,0,Coconut,8.682
60.413999999999994,36.602000000000004,123.768,6.037999999999999,0.864,22.828,80.624,3819.072,713.722,Low Humic Gley,Wet,0,Cinnamon,1.365
105.596,47.873999999999995,136.096,4.74,0.8140000000000001,21.554,84.038,3761.064,1058.722,Alluvial,Wet,1,Tea,2.771
92.012,36.854,119.174,5.87,2.7159999999999997,31.983999999999998,59.402,1312.1979999999999,171.134,Red Básico,Dry,0,Chilli,4.577
