N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
96.57,33.68,245.89,5.99,1.27,32.28,57.3,897.65,109.91,Non-Calcic Brown,Dry,0,Kurakkan,1.528
14.81,73.2,68.4,6.91,2.49,28.11,56.03,961.63,204.98,Latosols,Dry,0,Kurakkan,1.616
144.56,68.34,188.09,6.34,2.56,34.26,73.05,1218.53,26.55,Alluvial,Dry,1,Paddy (Nadu),6.851
88.58,62.82,125.98,6.26,3.28,29.92,59.57,1192.87,291.51,Alluvial,Dry,0,Maize,9.639
50.57,17.09,232.78,7.6,1.23,28.98,63.5,1223.09,60.92,Red Básico,Dry,1,Paddy (Nadu),7.758
30.73,79.83,70.36,8.39,3.14,30.55,74.06,1480.25,75.53,Non-Calcic Brown,Dry,1,Paddy (Samba),6.775
98.52,52.51,136.26,4.22,2.1,32.15,59.24,856.6,72.65,Non-Calcic Brown,Dry,0,Kurakkan,1.391
82.49,67.83,170.54,7.26,2.19,31.58,66.13,958.55,52.31,Red Básico,Dry,0,Kurakkan,1.658
72.78,79.58,48.1,3.88,2.46,28.71,50.13,1264.45,48.24,Non-Calcic Brown,Dry,0,Chilli,4.58
136.85,37.58,90.77,6.83,2.46,30.57,56.1,985.64,291.9,Red Básico,Dry,0,Kurakkan,2.244
139.96,37.11,241.83,8.33,1.05,34.96,56.99,1128.96,265.05,Latosols,Dry,0,Green Gram,2.002
16.34,33.1,158.34,6.16,2.91,30.42,66.24,1125.27,14.42,Non-Calcic Brown,Dry,1,Paddy (Nadu),9.021
115.12,61.59,30.27,8.04,2.29,29.75,71.68,1206.38,168.56,Latosols,Dry,0,Chilli,2.418
21.69,63.29,141.81,5.79,2.13,34.16,72.69,965.68,177.57,Latosols,Dry,1,Paddy (Samba),6.238
50.0,70.14,59.78,8.33,2.12,33.76,67.03,1320.95,71.25,Red Básico,Dry,1,Paddy (Nadu),7.543
77.25,78.9,97.3,7.32,3.33,34.53,51.13,1406.24,7.91,Red Básico,Dry,0,Green Gram,1.94
129.31,46.39,142.43,7.92,2.56,29.88,62.45,815.53,142.86,Alluvial,Dry,0,Kurakkan,2.879
22.74,59.48,139.12,5.92,2.66,28.95,58.76,810.18,176.98,Non-Calcic Brown,Dry,0,Kurakkan,2.648
98.68,23.01,23.59,4.41,1.99,33.38,51.15,846.37,186.24,Non-Calcic Brown,Dry,1,Maize,5.618
49.0,18.28,26.73,4.37,1.51,31.61,65.05,1481.18,67.15,Red Básico,Dry,1,Paddy (Nadu),5.618
73.6,46.15,139.49,4.75,2.11,32.07,62.03,908.05,159.78,Red Básico,Dry,0,Kurakkan,1.167
112.32,75.38,49.4,4.11,1.37,33.56,71.27,874.69,223.79,Non-Calcic Brown,Dry,1,Paddy (Samba),7.705
29.5,64.55,156.92,6.31,2.0,29.6,60.79,1179.99,99.84,Alluvial,Dry,0,Maize,9.017
