N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
49.04,57.53,212.43,7.82,0.78,24.09,79.31,2496.25,802.46,Alluvial,Intermediate,0,Rubber,1.608
117.8,21.19,157.61,4.2,1.28,24.0,66.07,1538.83,783.37,Red-Yellow Podzolic,Intermediate,1,Coconut,6.505
144.77,67.7,175.51,5.72,0.54,22.33,68.67,1898.82,969.64,Immature Brown Loams,Intermediate,1,Rubber,1.398
59.84,61.84,8.53,4.35,0.87,26.13,68.71,2157.11,957.04,Alluvial,Intermediate,1,Coconut,5.642
141.81,33.96,240.49,8.06,1.32,28.41,71.47,2177.17,415.65,Red-Yellow Podzolic,Intermediate,1,Paddy (Nadu),6.665
72.78,26.99,85.52,6.96,1.45,24.84,73.54,2456.8,734.27,Immature Brown Loams,Intermediate,1,Paddy (Nadu),8.86
96.55,12.58,25.61,7.09,1.64,27.9,74.12,2045.92,1171.79,Red-Yellow Podzolic,Intermediate,0,Rubber,1.515
49.91,18.0,224.71,4.18,0.78,23.9,63.06,1601.78,521.36,Immature Brown Loams,Intermediate,1,Maize,9.955
90.03,26.0,193.53,4.68,1.34,29.8,74.46,1990.75,1038.78,Immature Brown Loams,Intermediate,0,Tea,2.106
124.32,37.94,97.35,5.97,1.09,23.89,78.16,2133.76,584.58,Immature Brown Loams,Intermediate,0,Rubber,1.583
113.1,75.08,231.76,5.92,1.14,22.18,75.42,2151.37,636.99,Red-Yellow Podzolic,Intermediate,1,Rubber,2.292
98.52,5.98,167.57,4.64,1.37,26.62,60.68,1665.51,580.33,Red-Yellow Podzolic,Intermediate,0,Paddy (Nadu),6.957
114.31,9.12,116.51,6.26,1.69,27.58,78.49,1797.35,1173.95,Alluvial,Intermediate,0,Maize,5.087
81.78,22.3,48.25,4.84,1.41,27.95,68.03,1564.99,1054.04,Immature Brown Loams,Intermediate,1,Tea,1.964
135.64,39.75,157.62,7.31,1.99,29.96,67.92,1673.9,982.41,Immature Brown Loams,Intermediate,1,Coconut,9.697
131.03,60.04,132.71,7.88,1.32,25.84,76.49,2092.41,613.03,Immature Brown Loams,Intermediate,0,Paddy (Nadu),9.072
