N,P,K,pH,EC,Temperature,Humidity,Rainfall,Elevation,Soil_Type,Zone,Water_Source,Target_Crop,Yield_MT_per_HA
56.72,15.72,164.47,4.07,0.69,25.25,73.9,3996.65,343.19,Low Humic Gley,Wet,1,Cinnamon,1.259
117.98,10.55,92.82,4.34,1.09,20.53,70.35,3233.72,437.45,Latosols,Wet,0,Rubber,1.637
130.5,5.52,130.13,5.76,1.23,19.99,76.8,4767.07,1424.92,Red-Yellow Podzolic,Wet,0,Tea,2.984
29.61,43.87,219.96,7.28,1.49,26.82,71.76,4825.04,459.62,Low Humic Gley,Wet,0,Rubber,1.575
121.41,71.75,87.81,5.57,1.05,16.14,85.7,2512.96,427.4,Latosols,Wet,1,Cinnamon,1.276
107.54,52.17,219.98,7.25,0.18,20.4,78.52,4204.03,573.53,Low Humic Gley,Wet,1,Rubber,2.038
107.57,33.82,185.59,8.1,1.49,28.57,85.73,3807.74,1530.65,Low Humic Gley,Wet,0,Leeks,21.505
14.52,25.98,105.75,6.63,0.68,19.95,71.94,3959.14,2143.67,Latosols,Wet,0,Strawberries,17.549
111.66,61.78,97.57,4.93,0.88,27.11,94.99,4532.25,2192.6,Red-Yellow Podzolic,Wet,0,Tea,2.334
122.87,61.12,50.21,4.78,0.42,24.63,73.92,3779.14,830.03,Red-Yellow Podzolic,Wet,0,Rubber,1.836
72.64,44.95,64.41,5.07,0.16,16.86,91.11,4217.91,1649.16,Latosols,Wet,0,Carrots,18.917
92.16,60.91,110.76,4.4,0.81,21.64,86.22,3387.76,1055.08,Latosols,Wet,0,Tea,2.542
128.5,14.56,102.34,7.55,0.17,25.0,88.87,3734.95,226.42,Red-Yellow Podzolic,Wet,0,Rubber,1.282
56.69,34.86,136.66,8.12,0.01,23.51,88.61,3448.26,452.28,Red-Yellow Podzolic,Wet,0,Cinnamon,1.348
15.12,40.41,143.39,4.11,0.29,20.56,89.99,3566.97,768.65,Alluvial,Wet,0,Cinnamon,1.362
148.42,50.24,202.68,8.32,1.21,26.2,86.32,2946.36,524.0,Alluvial,Wet,0,Paddy (Mawel),6.694
97.47,30.19,207.15,5.51,1.37,15.37,84.58,2953.59,927.13,Alluvial,Wet,0,Rubber,1.9
35.49,41.36,130.55,7.29,0.71,25.69,91.71,2850.28,1072.35,Alluvial,Wet,1,Cinnamon,1.834
16.58,17.47,185.82,4.19,0.78,21.92,90.95,3933.24,889.64,Alluvial,Wet,1,Rubber,1.636
85.58,17.15,211.17,7.78,0.4,21.66,93.42,4159.18,1611.66,Red-Yellow Podzolic,Wet,0,Potatoes,23.179
97.85,70.53,246.1,7.41,0.72,15.98,71.32,2523.71,194.8,Alluvial,Wet,1,Rubber,1.409
63.81,55.97,58.47,8.26,0.64,25.02,76.93,3972.77,2002.75,Low Humic Gley,Wet,1,Carrots,28.658
49.39,23.95,6.25,7.07,1.1,28.38,90.24,4655.32,1441.53,Red-Yellow Podzolic,Wet,1,Strawberries,12.63
148.62,55.7,114.26,6.84,1.28,15.94,78.65,3955.43,1366.01,Low Humic Gley,Wet,1,Strawberries,13.505
51.18,73.39,242.04,4.67,1.2,25.87,91.12,4427.3,1674.25,Low Humic Gley,Wet,1,Potatoes,35.342
30.94,39.84,171.71,5.66,1.48,15.9,76.72,3954.93,1754.63,Low Humic Gley,Wet,0,Potatoes,37.159
39.45,30.95,195.07,8.22,0.72,16.47,94.67,3105.11,313.49,Latosols,Wet,0,Rubber,1.19
143.22,14.32,224.57,6.6,1.01,22.95,90.01,4223.66,440.33,Low Humic Gley,Wet,0,Rubber,2.446
118.64,35.4,152.45,6.77,0.35,27.77,85.57,3026.66,1389.43,Low Humic Gley,Wet,0,Leeks,19.77
45.35,31.94,97.94,6.65,1.42,19.72,80.77,4572.21,547.17,Low Humic Gley,Wet,0,Coconut,8.866
29.55,7.25,80.44,7.11,1.0,28.62,76.36,3950.28,1147.81,Low Humic Gley,Wet,0,Cinnamon,1.365
96.5,70.17,144.8,3.94,0.75,18.57,94.47,4154.08,823.45,Alluvial,Wet,1,Tea,2.771
13.59,30.59,98.15,5.67,0.72,25.63,83.56,3751.11,2093.25,Alluvial,Wet,1,Carrots,24.567
133.79,22.11,56.95,6.67,1.23,20.23,72.81,3816.25,5.68,Alluvial,Wet,1,Paddy (Nadu),6.796
92.13,17.6,185.53,7.86,0.68,26.92,90.24,4178.56,1686.64,Alluvial,Wet,1,Potatoes,25.313
96.4,38.18,208.81,6.95,0.52,16.2,74.8,4735.48,711.42,Low Humic Gley,Wet,0,Paddy (Mawel),6.493
56.7,48.54,26.75,8.32,0.67,24.37,86.55,4985.35,1227.12,Alluvial,Wet,0,Carrots,17.895
24.79,53.06,57.93,6.71,0.66,25.87,84.86,2805.09,2060.19,Latosols,Wet,0,Strawberries,9.999
78.3,13.23,139.25,5.94,1.44,19.53,85.73,4585.76,437.48,Red-Yellow Podzolic,Wet,1,Rubber,1.515
126.27,10.15,108.95,4.19,0.82,25.85,74.63,4153.43,383.04,Red-Yellow Podzolic,Wet,0,Tea,2.206
27.53,40.58,32.92,6.08,0.48,25.84,83.26,4109.76,92.29,Alluvial,Wet,1,Paddy (Mawel),3.642
106.44,70.5,160.89,7.38,0.85,20.79,88.59,4395.46,1346.27,Alluvial,Wet,0,Potatoes,38.734
36.32,31.65,197.03,6.4,0.92,27.32,77.77,4143.9,1633.17,Alluvial,Wet,0,Paddy (Nadu),6.013
88.49,50.26,170.73,7.58,0.84,27.24,88.09,3775.27,229.1,Alluvial,Wet,0,Coconut,7.412
77.62,15.01,24.75,7.22,0.69,18.16,81.54,3442.29,1057.99,Red-Yellow Podzolic,Wet,1,Cinnamon,0.887
46.64,23.52,227.03,4.97,0.42,27.92,70.34,3680.15,622.04,Alluvial,Wet,0,Cinnamon,1.263
13.06,54.78,241.03,6.43,1.35,22.87,77.88,3364.8,1698.09,Alluvial,Wet,1,Paddy (Mawel),6.209
56.23,61.76,132.25,4.76,0.25,28.69,82.43,4484.97,747.51,Red-Yellow Podzolic,Wet,0,Tea,3.096
