UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 07:45 ?        00:00:03 /sbin/init splash
root           2       0  0 07:45 ?        00:00:00 [kthreadd]
root           3       2  0 07:45 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 07:45 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 07:45 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 07:45 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 07:45 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 07:45 ?        00:00:00 [kworker/R-netns]
root          10       2  0 07:45 ?        00:00:00 [kworker/0:0H-events_highpri]
root          13       2  0 07:45 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 07:45 ?        00:00:12 [ksoftirqd/0]
root          15       2  0 07:45 ?        00:00:23 [rcu_preempt]
root          16       2  0 07:45 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 07:45 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0 07:45 ?        00:00:00 [migration/0]
root          19       2  0 07:45 ?        00:00:00 [idle_inject/0]
root          20       2  0 07:45 ?        00:00:00 [cpuhp/0]
root          21       2  0 07:45 ?        00:00:00 [cpuhp/1]
root          22       2  0 07:45 ?        00:00:00 [idle_inject/1]
root          23       2  0 07:45 ?        00:00:00 [migration/1]
root          24       2  0 07:45 ?        00:00:01 [ksoftirqd/1]
root          26       2  0 07:45 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 07:45 ?        00:00:00 [cpuhp/2]
root          28       2  0 07:45 ?        00:00:00 [idle_inject/2]
root          29       2  0 07:45 ?        00:00:00 [migration/2]
root          30       2  0 07:45 ?        00:00:00 [ksoftirqd/2]
root          32       2  0 07:45 ?        00:00:00 [kworker/2:0H-events_highpri]
root          33       2  0 07:45 ?        00:00:00 [cpuhp/3]
root          34       2  0 07:45 ?        00:00:00 [idle_inject/3]
root          35       2  0 07:45 ?        00:00:00 [migration/3]
root          36       2  0 07:45 ?        00:00:02 [ksoftirqd/3]
root          38       2  0 07:45 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 07:45 ?        00:00:00 [cpuhp/4]
root          40       2  0 07:45 ?        00:00:00 [idle_inject/4]
root          41       2  0 07:45 ?        00:00:00 [migration/4]
root          42       2  0 07:45 ?        00:00:01 [ksoftirqd/4]
root          44       2  0 07:45 ?        00:00:00 [kworker/4:0H-events_highpri]
root          45       2  0 07:45 ?        00:00:00 [cpuhp/5]
root          46       2  0 07:45 ?        00:00:00 [idle_inject/5]
root          47       2  0 07:45 ?        00:00:00 [migration/5]
root          48       2  0 07:45 ?        00:00:01 [ksoftirqd/5]
root          50       2  0 07:45 ?        00:00:00 [kworker/5:0H-events_highpri]
root          51       2  0 07:45 ?        00:00:00 [cpuhp/6]
root          52       2  0 07:45 ?        00:00:00 [idle_inject/6]
root          53       2  0 07:45 ?        00:00:00 [migration/6]
root          54       2  0 07:45 ?        00:00:01 [ksoftirqd/6]
root          56       2  0 07:45 ?        00:00:00 [kworker/6:0H-events_highpri]
root          57       2  0 07:45 ?        00:00:00 [cpuhp/7]
root          58       2  0 07:45 ?        00:00:00 [idle_inject/7]
root          59       2  0 07:45 ?        00:00:00 [migration/7]
root          60       2  0 07:45 ?        00:00:01 [ksoftirqd/7]
root          62       2  0 07:45 ?        00:00:00 [kworker/7:0H-events_highpri]
root          63       2  0 07:45 ?        00:00:00 [cpuhp/8]
root          64       2  0 07:45 ?        00:00:00 [idle_inject/8]
root          65       2  0 07:45 ?        00:00:00 [migration/8]
root          66       2  0 07:45 ?        00:00:01 [ksoftirqd/8]
root          68       2  0 07:45 ?        00:00:00 [kworker/8:0H-events_highpri]
root          69       2  0 07:45 ?        00:00:00 [cpuhp/9]
root          70       2  0 07:45 ?        00:00:00 [idle_inject/9]
root          71       2  0 07:45 ?        00:00:00 [migration/9]
root          72       2  0 07:45 ?        00:00:01 [ksoftirqd/9]
root          74       2  0 07:45 ?        00:00:00 [kworker/9:0H-events_highpri]
root          75       2  0 07:45 ?        00:00:00 [cpuhp/10]
root          76       2  0 07:45 ?        00:00:00 [idle_inject/10]
root          77       2  0 07:45 ?        00:00:00 [migration/10]
root          78       2  0 07:45 ?        00:00:00 [ksoftirqd/10]
root          80       2  0 07:45 ?        00:00:00 [kworker/10:0H-events_highpri]
root          81       2  0 07:45 ?        00:00:00 [cpuhp/11]
root          82       2  0 07:45 ?        00:00:00 [idle_inject/11]
root          83       2  0 07:45 ?        00:00:00 [migration/11]
root          84       2  0 07:45 ?        00:00:01 [ksoftirqd/11]
root          86       2  0 07:45 ?        00:00:00 [kworker/11:0H-events_highpri]
root          87       2  0 07:45 ?        00:00:00 [cpuhp/12]
root          88       2  0 07:45 ?        00:00:00 [idle_inject/12]
root          89       2  0 07:45 ?        00:00:00 [migration/12]
root          90       2  0 07:45 ?        00:00:00 [ksoftirqd/12]
root          92       2  0 07:45 ?        00:00:00 [kworker/12:0H-events_highpri]
root          93       2  0 07:45 ?        00:00:00 [cpuhp/13]
root          94       2  0 07:45 ?        00:00:00 [idle_inject/13]
root          95       2  0 07:45 ?        00:00:00 [migration/13]
root          96       2  0 07:45 ?        00:00:01 [ksoftirqd/13]
root          98       2  0 07:45 ?        00:00:00 [kworker/13:0H-events_highpri]
root          99       2  0 07:45 ?        00:00:00 [cpuhp/14]
root         100       2  0 07:45 ?        00:00:00 [idle_inject/14]
root         101       2  0 07:45 ?        00:00:00 [migration/14]
root         102       2  0 07:45 ?        00:00:04 [ksoftirqd/14]
root         104       2  0 07:45 ?        00:00:00 [kworker/14:0H-events_highpri]
root         105       2  0 07:45 ?        00:00:00 [cpuhp/15]
root         106       2  0 07:45 ?        00:00:00 [idle_inject/15]
root         107       2  0 07:45 ?        00:00:00 [migration/15]
root         108       2  0 07:45 ?        00:00:00 [ksoftirqd/15]
root         110       2  0 07:45 ?        00:00:00 [kworker/15:0H-events_highpri]
root         111       2  0 07:45 ?        00:00:00 [kdevtmpfs]
root         112       2  0 07:45 ?        00:00:00 [kworker/R-inet_frag_wq]
root         113       2  0 07:45 ?        00:00:00 [rcu_tasks_kthread]
root         114       2  0 07:45 ?        00:00:00 [rcu_tasks_rude_kthread]
root         115       2  0 07:45 ?        00:00:00 [rcu_tasks_trace_kthread]
root         116       2  0 07:45 ?        00:00:00 [kauditd]
root         117       2  0 07:45 ?        00:00:00 [khungtaskd]
root         118       2  0 07:45 ?        00:00:00 [oom_reaper]
root         121       2  0 07:45 ?        00:00:00 [kworker/R-writeback]
root         122       2  0 07:45 ?        00:00:01 [kcompactd0]
root         123       2  0 07:45 ?        00:00:00 [ksmd]
root         124       2  0 07:45 ?        00:00:00 [khugepaged]
root         125       2  0 07:45 ?        00:00:00 [kworker/R-kblockd]
root         126       2  0 07:45 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         127       2  0 07:45 ?        00:00:00 [kworker/R-kintegrityd]
root         129       2  0 07:45 ?        00:00:00 [irq/9-acpi]
root         131       2  0 07:45 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         132       2  0 07:45 ?        00:00:00 [kworker/R-ata_sff]
root         133       2  0 07:45 ?        00:00:00 [kworker/R-md]
root         134       2  0 07:45 ?        00:00:00 [kworker/R-md_bitmap]
root         135       2  0 07:45 ?        00:00:00 [kworker/R-edac-poller]
root         136       2  0 07:45 ?        00:00:00 [kworker/R-devfreq_wq]
root         138       2  0 07:45 ?        00:00:00 [watchdogd]
root         139       2  0 07:45 ?        00:00:00 [kworker/R-quota_events_unbound]
root         140       2  0 07:45 ?        00:00:00 [kworker/9:1H-kblockd]
root         142       2  0 07:45 ?        00:00:01 [kswapd0]
root         143       2  0 07:45 ?        00:00:00 [ecryptfs-kthread]
root         145       2  0 07:45 ?        00:00:00 [kworker/R-kthrotld]
root         146       2  0 07:45 ?        00:00:00 [irq/122-pciehp]
root         147       2  0 07:45 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         148       2  0 07:45 ?        00:00:00 [hwrng]
root         149       2  0 07:45 ?        00:00:00 [kworker/R-mld]
root         150       2  0 07:45 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         151       2  0 07:45 ?        00:00:00 [kworker/R-kstrp]
root         173       2  0 07:45 ?        00:00:00 [kworker/R-charger_manager]
root         174       2  0 07:45 ?        00:00:00 [kworker/0:1H-i915_cleanup]
root         197       2  0 07:45 ?        00:00:01 [kworker/3:1H-kblockd]
root         201       2  0 07:45 ?        00:00:00 [kworker/13:1H-kblockd]
root         203       2  0 07:45 ?        00:00:01 [kworker/4:1H-kblockd]
root         220       2  0 07:45 ?        00:00:00 [kworker/6:1H-kblockd]
root         224       2  0 07:45 ?        00:00:00 [kworker/12:1H-kblockd]
root         225       2  0 07:45 ?        00:00:00 [kworker/8:1H-kblockd]
root         254       2  0 07:45 ?        00:00:00 [kworker/5:1H-kblockd]
root         255       2  0 07:45 ?        00:00:02 [kworker/1:1H-i915_cleanup]
root         256       2  0 07:45 ?        00:00:00 [kworker/14:1H-kblockd]
root         257       2  0 07:45 ?        00:00:00 [kworker/7:1H-kblockd]
root         259       2  0 07:45 ?        00:00:00 [kworker/11:1H-kblockd]
root         260       2  0 07:45 ?        00:00:01 [kworker/2:1H-i915_cleanup]
root         261       2  0 07:45 ?        00:00:00 [kworker/15:1H-kblockd]
root         262       2  0 07:45 ?        00:00:00 [kworker/10:1H-kblockd]
root         298       2  0 07:45 ?        00:00:00 [irq/161-ELAN1203:00]
root         299       2  0 07:45 ?        00:00:00 [kworker/R-USBC000:00-con1]
root         303       2  0 07:45 ?        00:00:00 [kworker/R-nvme-wq]
root         304       2  0 07:45 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         305       2  0 07:45 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         306       2  0 07:45 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         346       2  0 07:45 ?        00:00:05 [jbd2/nvme1n1p2-8]
root         347       2  0 07:45 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         398       1  0 07:45 ?        00:00:11 /usr/lib/systemd/systemd-journald
root         457       1  0 07:45 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         510       2  0 07:45 ?        00:00:00 [psimon]
root         668       2  0 07:45 ?        00:00:00 [kworker/R-cfg80211]
root         678       2  0 07:45 ?        00:00:00 [nv_queue]
root         679       2  0 07:45 ?        00:00:00 [nv_queue]
root         680       2  0 07:45 ?        00:00:00 [nv_open_q]
root         689       2  0 07:45 ?        00:00:00 [kworker/R-asus_wireless_workqueue]
root         690       2  0 07:45 ?        00:00:00 [kworker/R-led_workqueue]
root         720       2  0 07:45 ?        00:00:02 [nvidia-modeset/kthread_q]
root         721       2  0 07:45 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
root         726       2  0 07:45 ?        00:00:00 [irq/191-nvidia]
root         728       2  0 07:45 ?        00:00:00 [nv_queue]
