iter	Passed	Remaining
0	74	748844
1	111	558692
2	145	483783
3	180	451974
4	212	424132
5	246	410593
6	280	400323
7	314	393176
8	349	388149
9	382	381810
10	415	376974
11	449	373884
12	481	369695
13	513	366189
14	546	364082
15	579	361815
16	611	358864
17	644	357558
18	677	355948
19	711	354799
20	745	354470
21	779	353540
22	797	345837
23	832	346172
24	867	346227
25	904	347147
26	938	346819
27	971	345907
28	1004	345303
29	1036	344613
30	1070	344219
31	1103	343588
32	1136	343157
33	1169	342807
34	1203	342631
35	1237	342398
36	1272	342519
37	1306	342510
38	1342	342825
39	1375	342484
40	1407	341789
41	1440	341620
42	1477	342016
43	1506	340806
44	1522	336827
45	1554	336356
46	1583	335423
47	1618	335523
48	1650	335277
49	1684	335123
50	1714	334395
51	1748	334586
52	1781	334303
53	1786	329092
54	1819	329007
55	1852	328964
56	1887	329244
57	1924	329826
58	1961	330421
59	1970	326383
60	2012	327868
61	2049	328566
62	2086	329143
63	2120	329207
64	2150	328723
65	2184	328772
66	2195	325463
67	2228	325560
68	2264	325857
69	2268	321759
70	2278	318593
71	2308	318351
72	2343	318725
73	2382	319555
74	2420	320301
75	2453	320414
76	2485	320318
77	2519	320495
78	2553	320659
79	2587	320809
80	2621	320959
81	2656	321250
82	2658	317698
83	2662	314353
84	2699	314833
85	2729	314693
86	2768	315417
87	2790	314256
88	2827	314842
89	2859	314891
90	2891	314888
91	2923	314888
92	2959	315256
93	2993	315415
94	3026	315541
95	3056	315363
96	3088	315275
97	3122	315463
98	3156	315678
99	3187	315525
100	3219	315579
101	3252	315591
102	3286	315825
103	3318	315807
104	3350	315776
105	3384	315945
106	3418	316111
107	3453	316356
108	3485	316294
109	3517	316254
110	3551	316402
111	3589	316930
112	3626	317302
113	3660	317412
114	3694	317529
115	3731	317925
116	3763	317933
117	3796	317919
118	3830	318051
119	3862	317978
120	3899	318382
121	3938	318886
122	3977	319409
123	4011	319526
124	4052	320123
125	4089	320456
126	4128	320934
127	4162	321032
128	4196	321131
129	4233	321427
130	4264	321283
131	4311	322338
132	4370	324216
133	4418	325294
134	4453	325437
135	4507	326893
136	4543	327075
137	4577	327150
138	4614	327341
139	4648	327403
140	4682	327414
141	4718	327569
142	4752	327579
143	4786	327625
144	4818	327515
145	4853	327560
146	4888	327644
147	4921	327629
148	4956	327669
149	4988	327602
150	5023	327674
151	5058	327721
152	5091	327709
153	5122	327534
154	5157	327594
155	5188	327431
156	5225	327578
157	5258	327583
158	5293	327636
159	5326	327599
160	5359	327529
161	5394	327584
162	5428	327604
163	5460	327479
164	5493	327448
165	5526	327410
166	5559	327354
167	5593	327345
168	5629	327474
169	5661	327374
170	5694	327327
171	5727	327249
172	5760	327221
173	5793	327159
174	5824	326982
175	5856	326893
176	5888	326787
177	5922	326794
178	5956	326794
179	5991	326857
180	6030	327149
181	6066	327278
182	6101	327303
183	6136	327358
184	6176	327706
185	6213	327823
186	6248	327883
187	6284	327997
188	6317	327958
189	6349	327851
190	6381	327714
191	6413	327645
192	6448	327687
193	6484	327755
194	6517	327695
195	6551	327699
196	6587	327803
197	6621	327811
198	6656	327847
199	6690	327820
200	6721	327697
201	6756	327733
202	6790	327732
203	6821	327557
204	6852	327428
205	6887	327472
206	6923	327530
207	6959	327629
208	6999	327918
209	7032	327827
210	7066	327853
211	7098	327737
212	7130	327624
213	7162	327544
214	7194	327411
215	7227	327391
216	7263	327453
217	7299	327543
218	7334	327574
219	7369	327614
220	7404	327646
221	7436	327540
222	7469	327496
223	7504	327498
224	7536	327400
225	7569	327363
226	7601	327263
227	7637	327327
228	7676	327535
229	7711	327552
230	7748	327666
231	7781	327629
232	7815	327613
233	7847	327535
234	7880	327456
235	7913	327397
236	7948	327418
237	7982	327403
238	8013	327272
239	8049	327338
240	8089	327555
241	8124	327614
242	8162	327762
243	8198	327811
244	8234	327854
245	8267	327826
246	8304	327928
247	8339	327939
248	8372	327874
249	8410	327995
250	8444	327980
251	8478	327968
252	8511	327923
253	8547	327977
254	8582	327977
255	8617	327997
256	8654	328104
257	8690	328161
258	8726	328193
259	8758	328117
260	8792	328099
261	8826	328080
262	8865	328235
263	8904	328380
264	8941	328460
265	8975	328452
266	9009	328430
267	9040	328307
268	9071	328169
269	9107	328199
270	9145	328344
271	9184	328472
272	9219	328508
273	9254	328487
274	9287	328445
275	9319	328334
276	9351	328259
277	9384	328190
278	9421	328254
279	9461	328433
280	9497	328493
281	9533	328543
282	9566	328467
283	9597	328353
284	9628	328209
285	9664	328251
286	9698	328212
287	9732	328191
288	9768	328231
289	9805	328330
290	9840	328315
291	9873	328247
292	9907	328232
293	9941	328217
294	9973	328118
295	10005	328015
296	10035	327846
297	10074	328011
298	10108	327957
299	10145	328033
300	10179	328011
301	10213	327992
302	10247	327960
303	10281	327928
304	10317	327970
305	10354	328017
306	10388	327988
307	10420	327903
308	10453	327836
309	10488	327841
310	10524	327893
311	10558	327843
312	10595	327905
313	10628	327864
314	10663	327865
315	10699	327880
316	10732	327824
317	10766	327789
318	10800	327771
319	10833	327715
320	10874	327884
321	10909	327901
322	10942	327823
323	10974	327734
324	11006	327665
325	11039	327602
326	11075	327610
327	11108	327568
328	11142	327542
329	11176	327509
330	11211	327499
331	11248	327572
332	11284	327575
333	11322	327671
334	11359	327734
335	11394	327717
336	11431	327789
337	11463	327706
338	11495	327618
339	11530	327608
340	11567	327657
341	11598	327536
342	11632	327498
343	11671	327610
344	11710	327712
345	11744	327684
346	11779	327684
347	11814	327695
348	11850	327706
349	11884	327663
350	11917	327605
351	11952	327609
352	11988	327629
353	12024	327652
354	12057	327601
355	12090	327519
356	12123	327479
357	12156	327417
358	12189	327346
359	12222	327281
360	12261	327380
361	12296	327388
362	12331	327373
363	12366	327374
364	12400	327331
365	12433	327278
366	12467	327252
367	12499	327172
368	12532	327102
369	12564	327012
370	12596	326921
371	12629	326874
372	12665	326879
373	12699	326863
374	12735	326888
375	12770	326858
376	12804	326843
377	12837	326790
378	12869	326688
379	12903	326667
380	12935	326585
381	12969	326546
382	13004	326533
383	13039	326520
384	13074	326527
385	13114	326633
386	13150	326651
387	13184	326629
388	13225	326751
389	13261	326769
390	13298	326823
391	13332	326788
392	13370	326850
393	13405	326841
394	13443	326892
395	13485	327057
396	13523	327119
397	13554	327000
398	13588	326969
399	13620	326880
400	13654	326855
401	13686	326762
402	13712	326548
403	13742	326419
404	13779	326458
405	13817	326513
406	13855	326564
407	13890	326559
408	13926	326571
409	13959	326509
410	13996	326548
411	14032	326551
412	14071	326641
413	14104	326587
414	14140	326583
415	14174	326557
416	14209	326550
417	14249	326650
418	14283	326616
419	14320	326640
420	14355	326637
421	14391	326642
422	14426	326619
423	14462	326628
424	14503	326754
425	14551	327039
426	14596	327238
427	14635	327312
428	14674	327393
429	14712	327437
430	14752	327522
431	14790	327580
432	14832	327714
433	14870	327759
434	14910	327861
435	14948	327897
436	14986	327952
437	15020	327911
438	15055	327891
439	15093	327932
440	15134	328049
441	15188	328440
442	15227	328518
443	15262	328497
444	15304	328623
445	15340	328616
446	15375	328586
447	15418	328736
448	15453	328712
449	15489	328716
450	15525	328727
451	15562	328735
452	15598	328742
453	15632	328695
454	15666	328650
455	15680	328195
456	15716	328188
457	15748	328107
458	15785	328125
459	15821	328129
460	15854	328071
461	15889	328039
462	15922	327983
463	15955	327904
464	15985	327796
465	16018	327732
466	16051	327664
467	16087	327657
468	16119	327582
469	16153	327548
470	16186	327481
471	16219	327418
472	16255	327407
473	16289	327371
474	16323	327329
475	16356	327268
476	16386	327150
477	16419	327080
478	16454	327062
479	16486	326986
480	16520	326949
481	16557	326957
482	16589	326884
483	16625	326876
484	16661	326870
485	16693	326801
486	16727	326761
487	16761	326714
488	16793	326635
489	16825	326553
490	16861	326551
491	16893	326474
492	16928	326442
493	16960	326372
494	16993	326311
495	17026	326249
496	17062	326248
497	17100	326286
498	17134	326246
499	17170	326230
500	17203	326177
501	17237	326141
502	17272	326126
503	17306	326073
504	17339	326020
505	17374	325988
506	17406	325922
507	17442	325919
508	17480	325948
509	17512	325866
510	17544	325791
511	17578	325758
512	17612	325705
513	17647	325695
514	17680	325626
515	17697	325284
516	17730	325211
517	17765	325193
518	17799	325155
519	17832	325096
520	17866	325058
521	17899	324999
522	17932	324946
523	17966	324908
524	18001	324888
525	18036	324861
526	18072	324852
527	18106	324811
528	18138	324746
529	18170	324660
530	18199	324547
531	18230	324451
532	18263	324397
533	18294	324305
534	18327	324248
535	18363	324243
536	18399	324241
537	18433	324202
538	18470	324207
539	18507	324228
540	18544	324232
541	18577	324185
542	18611	324147
543	18647	324137
544	18685	324162
545	18718	324110
546	18753	324093
547	18787	324044
548	18820	323991
549	18856	323984
550	18890	323943
551	18923	323900
552	18959	323890
553	18994	323867
554	19027	323816
555	19061	323765
556	19095	323725
557	19130	323710
558	19164	323664
559	19198	323626
560	19232	323597
561	19264	323522
562	19299	323492
563	19332	323449
564	19368	323436
565	19404	323426
566	19437	323376
567	19475	323396
568	19508	323354
569	19543	323320
570	19580	323339
571	19615	323306
572	19646	323223
573	19680	323183
574	19714	323149
575	19748	323105
576	19780	323041
577	19815	323007
578	19853	323034
579	19885	322968
580	19921	322954
581	19954	322901
582	19987	322844
583	20020	322800
584	20057	322811
585	20090	322747
586	20126	322739
587	20160	322701
588	20195	322679
589	20230	322652
590	20263	322606
591	20297	322566
592	20329	322501
593	20363	322461
594	20398	322435
595	20433	322408
596	20465	322342
597	20499	322305
598	20536	322313
599	20567	322231
600	20604	322239
601	20643	322267
602	20679	322268
603	20716	322277
604	20754	322291
605	20792	322322
606	20826	322274
607	20862	322276
608	20898	322264
609	20933	322231
610	20972	322273
611	21005	322219
612	21039	322177
613	21076	322189
614	21110	322148
615	21144	322114
616	21178	322077
617	21211	322014
618	21245	321980
619	21279	321931
620	21312	321890
621	21348	321870
622	21383	321849
623	21416	321792
624	21450	321755
625	21483	321704
626	21517	321663
627	21553	321650
628	21585	321580
629	21620	321566
630	21658	321582
631	21688	321488
632	21721	321429
633	21753	321368
634	21787	321318
635	21819	321256
636	21855	321242
637	21887	321178
638	21924	321183
639	21959	321162
640	21992	321103
641	22024	321042
642	22061	321034
643	22095	321003
644	22129	320963
645	22167	320977
646	22197	320890
647	22229	320825
648	22262	320761
649	22293	320689
650	22327	320646
651	22362	320618
652	22393	320539
653	22426	320491
654	22460	320444
655	22492	320378
656	22526	320347
657	22561	320321
658	22596	320298
659	22630	320259
660	22666	320248
661	22700	320201
662	22734	320174
663	22771	320166
664	22804	320118
665	22839	320090
666	22875	320083
667	22911	320075
668	22944	320028
669	22980	320008
670	23012	319947
671	23045	319898
672	23081	319876
673	23114	319832
674	23152	319841
675	23188	319837
676	23222	319801
677	23255	319751
678	23291	319738
679	23326	319712
680	23361	319691
681	23395	319652
682	23429	319612
683	23463	319576
684	23499	319552
685	23533	319525
686	23566	319474
687	23600	319431
688	23632	319366
689	23665	319310
690	23698	319262
691	23733	319241
692	23766	319183
693	23800	319141
694	23833	319098
695	23867	319051
696	23901	319023
697	23934	318972
698	23968	318934
699	24000	318863
700	24033	318815
701	24068	318787
702	24100	318723
703	24134	318679
704	24170	318673
705	24203	318622
706	24236	318565
707	24271	318549
708	24307	318539
709	24343	318519
710	24374	318448
711	24412	318465
712	24447	318433
713	24482	318405
714	24519	318412
715	24554	318387
716	24591	318382
717	24627	318374
718	24662	318352
719	24698	318334
720	24736	318354
721	24774	318368
722	24810	318349
723	24846	318332
724	24879	318291
725	24915	318276
726	24949	318235
727	24983	318192
728	25014	318120
729	25051	318114
730	25084	318071
